Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,abdominal pain,yellowing of eyes,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,burning pee,spotting urine,,,,,,,,,,,,
Drug Reaction,itching,stomach pain,burning pee,spotting urine,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,burning pee,spotting urine,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,spotting urine,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,burning pee,,,,,,,,,,,,,
Drug Reaction,skin rash,stomach pain,burning pee,spotting urine,,,,,,,,,,,,,
Drug Reaction,itching,stomach pain,burning pee,spotting urine,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,burning pee,spotting urine,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,spotting urine,,,,,,,,,,,,,
Drug Reaction,itching,skin rash,stomach pain,burning pee,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss of appetite,abdominal pain,farting,itching inside,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal pain,farting,itching inside,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss of appetite,abdominal pain,farting,itching inside,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss of appetite,abdominal pain,farting,itching inside,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,abdominal pain,farting,itching inside,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,farting,itching inside,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,itching inside,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,farting,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,farting,itching inside,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss of appetite,abdominal pain,farting,itching inside,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,,,,,,,,
AIDS,patches in throat,high fever,extra marital contacts,,,,,,,,,,,,,,
AIDS,muscle wasting,high fever,extra marital contacts,,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,extra marital contacts,,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,high fever,,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,high fever,extra marital contacts,,,,,,,,,,,,,
AIDS,patches in throat,high fever,extra marital contacts,,,,,,,,,,,,,,
AIDS,muscle wasting,high fever,extra marital contacts,,,,,,,,,,,,,,
AIDS,muscle wasting,patches in throat,high fever,,,,,,,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurry vision,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurry vision,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,
Diabetes ,weight loss,restlessness,lethargy,irregular sugar level,blurry vision,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,,
Diabetes ,fatigue,restlessness,lethargy,irregular sugar level,blurry vision,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,,
Diabetes ,fatigue,weight loss,lethargy,irregular sugar level,blurry vision,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,irregular sugar level,blurry vision,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,blurry vision,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,obesity,excessive hunger,increased appetite,peeing a lot,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurry vision,excessive hunger,increased appetite,peeing a lot,,,,,,,,
Diabetes ,fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurry vision,obesity,increased appetite,peeing a lot,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,sunken eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,sunken eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,vomiting,sunken eyes,diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucus,,,,,,,,,,,
Bronchial Asthma,cough,high fever,breathlessness,family history,mucus,,,,,,,,,,,,
Bronchial Asthma,fatigue,high fever,breathlessness,family history,mucus,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,breathlessness,family history,mucus,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,family history,mucus,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,mucus,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,,,,,,,,,,,,
Bronchial Asthma,fatigue,cough,high fever,breathlessness,family history,mucus,,,,,,,,,,,
Bronchial Asthma,cough,high fever,breathlessness,family history,mucus,,,,,,,,,,,,
Bronchial Asthma,fatigue,high fever,breathlessness,family history,mucus,,,,,,,,,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,
Hypertension ,chest pain,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,,
Hypertension ,headache,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,,
Hypertension ,headache,chest pain,loss of balance,lack of concentration,,,,,,,,,,,,,
Hypertension ,headache,chest pain,dizziness,lack of concentration,,,,,,,,,,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,,,,,,,,,,,,,
Hypertension ,headache,chest pain,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,
Hypertension ,chest pain,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,,
Hypertension ,headache,dizziness,loss of balance,lack of concentration,,,,,,,,,,,,,
Hypertension ,headache,chest pain,loss of balance,lack of concentration,,,,,,,,,,,,,
Migraine,acidity,indigestion,headache,blurry vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,
Migraine,indigestion,headache,blurry vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,
Migraine,acidity,headache,blurry vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,
Migraine,acidity,indigestion,blurry vision,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,
Migraine,acidity,indigestion,headache,excessive hunger,stiff neck,depression,irritability,visual disturbances,,,,,,,,,
Migraine,acidity,indigestion,headache,blurry vision,stiff neck,depression,irritability,visual disturbances,,,,,,,,,
Migraine,acidity,indigestion,headache,blurry vision,excessive hunger,depression,irritability,visual disturbances,,,,,,,,,
Migraine,acidity,indigestion,headache,blurry vision,excessive hunger,stiff neck,irritability,visual disturbances,,,,,,,,,
Migraine,acidity,indigestion,headache,blurry vision,excessive hunger,stiff neck,depression,visual disturbances,,,,,,,,,
Migraine,acidity,indigestion,headache,blurry vision,excessive hunger,stiff neck,depression,irritability,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,,,,,,,,
Cervical spondylosis,weakness in limbs,neck pain,dizziness,loss of balance,,,,,,,,,,,,,
Cervical spondylosis,back pain,neck pain,dizziness,loss of balance,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,dizziness,loss of balance,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,loss of balance,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,,,,,,,,,,,,,
Cervical spondylosis,back pain,weakness in limbs,neck pain,dizziness,loss of balance,,,,,,,,,,,,
Cervical spondylosis,weakness in limbs,neck pain,dizziness,loss of balance,,,,,,,,,,,,,
Cervical spondylosis,back pain,neck pain,dizziness,loss of balance,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,confusion,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,confusion,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,weakness of one body side,confusion,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,weakness of one body side,confusion,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,confusion,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,weakness of one body side,confusion,,,,,,,,,,,,,
Paralysis (brain hemorrhage),headache,weakness of one body side,confusion,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,weakness of one body side,confusion,,,,,,,,,,,,,,
Paralysis (brain hemorrhage),vomiting,headache,confusion,,,,,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,,,,,,,,
Jaundice,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,,,,,,,,,
Jaundice,itching,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,,,,,,,,,
Jaundice,itching,vomiting,weight loss,high fever,yellowish skin,dark urine,abdominal pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,high fever,yellowish skin,dark urine,abdominal pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight loss,yellowish skin,dark urine,abdominal pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,dark urine,abdominal pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,abdominal pain,,,,,,,,,,
Jaundice,itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,,,,,,,,,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,muscle pain,,,,,,,,,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,,,,,,,,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,,,,,,,,,
Malaria,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain,,,,,,,,,,
Malaria,chills,high fever,sweating,headache,nausea,diarrhoea,muscle pain,,,,,,,,,,
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle pain,,,,,,,,,,
Malaria,chills,vomiting,high fever,headache,nausea,diarrhoea,muscle pain,,,,,,,,,,
Malaria,chills,vomiting,high fever,sweating,nausea,diarrhoea,muscle pain,,,,,,,,,,
Malaria,chills,vomiting,high fever,sweating,headache,diarrhoea,muscle pain,,,,,,,,,,
Malaria,chills,vomiting,high fever,sweating,headache,nausea,muscle pain,,,,,,,,,,
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,
Chicken pox,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,skin rash,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,skin rash,fatigue,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,skin rash,fatigue,lethargy,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,mild fever,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,swelled lymph nodes,malaise,red spots over body,,,,,,,
Chicken pox,itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,malaise,red spots over body,,,,,,,
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,muscle pain,red spots over body,,,,
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,red spots over body,,,,
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,,,,
Dengue,skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,,,
Dengue,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,,,,
Dengue,skin rash,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,,,,
Dengue,skin rash,chills,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,,,,
Dengue,skin rash,chills,joint pain,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,,,,
Dengue,skin rash,chills,joint pain,vomiting,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,,,,
Dengue,skin rash,chills,joint pain,vomiting,fatigue,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body,,,,
Typhoid,chills,vomiting,fatigue,high fever,nausea,constipation,abdominal pain,diarrhoea,sickly look,belly pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,constipation,abdominal pain,diarrhoea,sickly look,belly pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,abdominal pain,diarrhoea,sickly look,belly pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,diarrhoea,sickly look,belly pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,sickly look,belly pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,belly pain,,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,sickly look,,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,sickly look,belly pain,,,,,,
Typhoid,chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,sickly look,belly pain,,,,,,
Typhoid,chills,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,sickly look,belly pain,,,,,,,
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,
hepatitis A,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,,
hepatitis A,joint pain,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,,
hepatitis A,joint pain,vomiting,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,,
hepatitis A,joint pain,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,,
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,,
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,,
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,diarrhoea,mild fever,yellowing of eyes,muscle pain,,,,,,,
hepatitis A,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,mild fever,yellowing of eyes,muscle pain,,,,,,,
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,
Hepatitis B,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis B,itching,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis B,itching,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis B,itching,fatigue,lethargy,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis B,itching,fatigue,lethargy,yellowish skin,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,abdominal pain,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,yellow urine,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis B,itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,malaise,blood transfusion,injections,,,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,family history,,,,,,,,,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,,,,,,,,
Hepatitis C,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,,,,,,,,,
Hepatitis C,fatigue,nausea,loss of appetite,yellowing of eyes,family history,,,,,,,,,,,,
Hepatitis C,fatigue,yellowish skin,loss of appetite,yellowing of eyes,family history,,,,,,,,,,,,
Hepatitis C,fatigue,yellowish skin,nausea,yellowing of eyes,family history,,,,,,,,,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,family history,,,,,,,,,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,,,,,,,,,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,,,,,,,,
Hepatitis C,fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history,,,,,,,,,,,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,
Hepatitis D,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,vomiting,fatigue,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,abdominal pain,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,yellowing of eyes,,,,,,,,,
Hepatitis D,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,,,,,,,,,
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,unconscious,blood in vomit,,,,,
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,
Hepatitis E,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,,
Hepatitis E,joint pain,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,,
Hepatitis E,joint pain,vomiting,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,,
Hepatitis E,joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,,
Hepatitis E,joint pain,vomiting,fatigue,high fever,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,,
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,,
Hepatitis E,joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,unconscious,blood in vomit,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,bloated stomach,alcohol use,swelling,,,,,,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,bloated stomach,alcohol use,swelling,,,,,,,,,,
Alcoholic hepatitis,yellowish skin,abdominal pain,swelling of stomach,bloated stomach,alcohol use,swelling,,,,,,,,,,,
Alcoholic hepatitis,vomiting,abdominal pain,swelling of stomach,bloated stomach,alcohol use,swelling,,,,,,,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,swelling of stomach,bloated stomach,alcohol use,swelling,,,,,,,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,bloated stomach,alcohol use,swelling,,,,,,,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,alcohol use,swelling,,,,,,,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,bloated stomach,swelling,,,,,,,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,bloated stomach,alcohol use,,,,,,,,,,,
Alcoholic hepatitis,vomiting,yellowish skin,abdominal pain,swelling of stomach,bloated stomach,alcohol use,swelling,,,,,,,,,,
